emp_no,dept_no
10002,d007
10016,d007
10034,d007
10041,d007
10050,d007
10053,d007
10060,d007
10061,d007
10068,d007
10087,d007
10088,d007
10089,d007
10093,d007
10095,d007
10099,d007
10101,d007
10107,d007
10125,d007
10136,d007
10148,d007
10149,d007
10151,d007
10160,d007
10178,d007
10185,d007
10199,d007
10209,d007
10214,d007
10215,d007
10226,d007
10228,d007
10232,d007
10234,d007
10236,d007
10237,d007
10243,d007
10248,d007
10253,d007
10254,d007
10256,d007
10262,d007
10270,d007
10273,d007
10277,d007
10291,d007
10292,d007
10296,d007
10299,d007
10302,d007
10304,d007
10306,d007
10308,d007
10314,d007
10319,d007
10320,d007
10321,d007
10330,d007
10331,d007
10335,d007
10346,d007
10355,d007
10361,d007
10369,d007
10370,d007
10374,d007
10375,d007
10378,d007
10380,d007
10388,d007
10398,d007
10399,d007
10400,d007
10403,d007
10407,d007
10408,d007
10410,d007
10411,d007
10417,d007
10427,d007
10431,d007
10442,d007
10444,d007
10448,d007
10449,d007
10454,d007
10455,d007
10458,d007
10461,d007
10463,d007
10468,d007
10472,d007
10490,d007
10493,d007
10499,d007
10504,d007
10505,d007
10509,d007
10510,d007
10515,d007
10517,d007
10521,d007
10525,d007
10532,d007
10533,d007
10536,d007
10537,d007
10539,d007
10541,d007
10548,d007
10555,d007
10559,d007
10561,d007
10567,d007
10568,d007
10570,d007
10573,d007
10592,d007
10596,d007
10597,d007
10600,d007
10603,d007
10616,d007
10619,d007
10629,d007
10633,d007
10637,d007
10638,d007
10640,d007
10644,d007
10655,d007
10670,d007
10681,d007
10692,d007
10701,d007
10705,d007
10710,d007
10725,d007
10744,d007
10754,d007
10765,d007
10767,d007
10770,d007
10788,d007
10795,d007
10804,d007
10807,d007
10810,d007
10813,d007
10814,d007
10817,d007
10828,d007
10832,d007
10836,d007
10837,d007
10855,d007
10857,d007
10862,d007
10864,d007
10865,d007
10876,d007
10878,d007
10885,d007
10889,d007
10890,d007
10895,d007
10897,d007
10906,d007
10914,d007
10922,d007
10923,d007
10924,d007
10953,d007
10955,d007
10957,d007
10959,d007
10960,d007
10962,d007
10965,d007
10968,d007
10977,d007
10981,d007
10996,d007
10998,d007
11002,d007
11008,d007
11009,d007
11015,d007
11022,d007
11023,d007
11024,d007
11029,d007
11030,d007
11044,d007
11048,d007
11049,d007
11055,d007
11056,d007
11057,d007
11060,d007
11061,d007
11086,d007
11089,d007
11092,d007
11097,d007
11099,d007
11102,d007
11109,d007
11120,d007
11124,d007
11144,d007
11146,d007
11149,d007
11150,d007
11155,d007
11159,d007
11163,d007
11164,d007
11168,d007
